latitude,longitude,brightness,frp,confidence,daynight,acq_date,anio,mes,hora,cluster,riesgo
18.91713,-102.14481,340.18,3.4,n,D,2023-01-26,2023,1,20,1,Alto
17.41177,-99.83514,303.27,1.01,n,N,2023-05-08,2023,5,8,0,Bajo
16.20275,-90.69479,335.86,4.67,n,N,2025-05-09,2025,5,8,0,Bajo
14.94953,-92.2989,330.97,1.83,n,D,2025-04-21,2025,4,20,1,Alto
27.88118,-108.91168,332.38,6.04,n,D,2023-05-19,2023,5,19,2,Medio
27.3675,-113.23211,338.81,1.65,n,D,2023-08-12,2023,8,20,2,Medio
18.16615,-90.61301,341.95,3.82,l,D,2023-04-14,2023,4,19,2,Medio
18.05653,-101.77948,348.25,9.48,n,D,2024-05-05,2024,5,19,1,Alto
18.38397,-96.25719,340.55,12.85,n,D,2023-12-28,2023,12,20,1,Alto
17.67182,-95.43436,337.57,28.04,n,D,2025-06-04,2025,6,19,1,Alto
18.81343,-96.40378,309.36,1.04,n,N,2024-04-02,2024,4,7,0,Bajo
19.27884,-88.56136,338.62,5.8,l,D,2024-05-12,2024,5,19,2,Medio
26.45226,-107.74954,344.54,18.93,l,D,2025-06-04,2025,6,19,2,Medio
32.47447,-116.42908,336.27,30.01,n,D,2023-11-05,2023,11,21,2,Medio
18.62287,-92.50816,317.54,1.59,n,N,2025-03-23,2025,3,8,0,Bajo
17.28994,-99.75185,318.09,1.11,n,N,2023-05-21,2023,5,8,0,Bajo
18.08993,-102.34312,351.46,7.72,n,D,2023-05-15,2023,5,19,1,Alto
32.60063,-115.51479,295.51,0.29,n,N,2024-12-16,2024,12,9,0,Bajo
20.98222,-104.09469,301.77,1.87,n,N,2023-05-10,2023,5,8,0,Bajo
20.68628,-103.77579,343.38,9.59,n,D,2023-01-03,2023,1,20,1,Alto
23.53899,-100.823,339.17,33.55,l,D,2025-04-05,2025,4,20,2,Medio
15.19269,-92.64171,332.32,1.44,l,D,2024-03-24,2024,3,19,2,Medio
22.02124,-104.02975,342.94,3.64,n,D,2023-06-14,2023,6,20,2,Medio
19.18536,-99.33736,367.0,22.3,h,D,2025-04-10,2025,4,20,1,Alto
20.58079,-101.17433,334.62,6.26,n,D,2024-07-21,2024,7,19,1,Alto
15.82835,-92.05328,345.41,5.54,n,D,2025-11-07,2025,11,19,1,Alto
28.7417,-108.27158,304.05,2.81,n,N,2024-04-26,2024,4,8,0,Bajo
28.8499,-108.45102,314.72,1.82,n,N,2024-06-09,2024,6,9,0,Bajo
19.37281,-89.35789,338.53,8.34,l,D,2024-05-16,2024,5,19,2,Medio
21.05052,-105.22194,331.64,2.3,n,D,2023-06-10,2023,6,19,2,Medio
22.53962,-104.65586,337.53,6.82,l,D,2024-05-26,2024,5,19,2,Medio
20.2656,-100.99196,329.77,1.89,l,D,2025-11-18,2025,11,19,2,Medio
19.89869,-101.81709,348.68,9.22,n,D,2024-05-14,2024,5,20,1,Alto
16.20881,-90.49423,306.98,1.02,n,N,2024-03-27,2024,3,7,0,Bajo
18.83513,-102.12472,340.64,3.56,l,D,2024-04-25,2024,4,19,2,Medio
21.40377,-103.71368,297.74,0.79,n,N,2024-06-05,2024,6,8,0,Bajo
17.13858,-99.85222,301.27,0.99,n,N,2023-05-07,2023,5,7,0,Bajo
19.71953,-97.84002,330.72,6.92,n,N,2024-02-23,2024,2,7,0,Bajo
17.86502,-90.25349,308.12,1.95,n,N,2025-05-13,2025,5,7,0,Bajo
17.26312,-99.70441,301.22,0.97,n,N,2023-05-17,2023,5,7,0,Bajo
18.62819,-97.60229,343.8,4.69,l,D,2024-03-26,2024,3,18,2,Medio
17.89812,-92.48846,342.29,4.34,n,N,2025-02-07,2025,2,8,0,Bajo
25.22046,-107.30881,346.82,7.09,n,D,2025-04-28,2025,4,19,2,Medio
19.54793,-89.6867,345.63,10.12,n,D,2023-06-26,2023,6,19,1,Alto
19.1704,-100.16662,344.6,12.57,n,N,2024-03-25,2024,3,8,0,Bajo
15.93771,-92.50407,337.65,4.21,n,D,2024-05-27,2024,5,19,1,Alto
24.35838,-106.1115,303.94,0.8,n,N,2024-06-14,2024,6,9,0,Bajo
17.11256,-98.2169,332.66,8.73,l,D,2025-04-14,2025,4,18,2,Medio
18.87117,-97.66127,297.83,1.02,n,N,2024-03-22,2024,3,7,0,Bajo
19.60638,-89.44385,333.73,6.03,n,D,2024-05-20,2024,5,18,1,Alto
20.06495,-104.7461,333.62,6.83,l,D,2024-04-08,2024,4,19,2,Medio
20.31566,-90.07243,339.65,7.09,l,D,2025-04-25,2025,4,18,2,Medio
22.38597,-103.62831,302.47,3.07,n,N,2023-05-11,2023,5,9,0,Bajo
24.73052,-106.3655,343.14,12.94,n,D,2025-05-23,2025,5,20,2,Medio
18.96579,-99.42435,367.0,5.88,h,N,2024-03-28,2024,3,8,1,Alto
17.92348,-93.36577,335.62,5.56,l,D,2024-04-10,2024,4,19,2,Medio
19.69838,-103.93346,340.49,6.57,l,D,2024-05-18,2024,5,20,2,Medio
17.41228,-93.8527,333.5,6.29,n,D,2024-07-08,2024,7,19,1,Alto
20.08434,-96.74206,355.87,19.19,n,D,2025-06-13,2025,6,20,1,Alto
20.52092,-90.13052,335.07,5.21,l,D,2024-05-06,2024,5,19,2,Medio
18.04818,-102.06346,348.99,45.06,n,D,2023-05-30,2023,5,19,1,Alto
24.93695,-106.95891,367.0,19.2,h,D,2024-04-20,2024,4,19,1,Alto
16.5499,-98.49173,354.54,13.33,n,D,2024-05-10,2024,5,19,1,Alto
16.27419,-93.85124,302.97,3.45,n,N,2025-05-07,2025,5,7,0,Bajo
20.01702,-89.77086,339.18,8.35,n,D,2024-05-16,2024,5,19,1,Alto
19.34775,-89.3054,288.83,127.05,l,D,2024-03-28,2024,3,20,2,Medio
18.09328,-94.0452,348.54,7.49,n,N,2025-07-22,2025,7,8,1,Alto
17.73702,-91.05321,347.06,4.88,n,D,2023-03-17,2023,3,19,1,Alto
21.50322,-98.33549,344.37,10.76,n,D,2023-06-09,2023,6,19,1,Alto
19.76492,-89.04147,335.09,5.79,l,D,2023-04-04,2023,4,18,2,Medio
23.87601,-106.82394,303.51,1.35,n,N,2025-02-20,2025,2,9,0,Bajo
18.60958,-88.8209,331.27,3.29,n,D,2023-11-23,2023,11,19,1,Alto
18.49282,-89.38809,336.91,2.77,n,D,2023-03-12,2023,3,19,1,Alto
17.66365,-101.44309,337.75,3.21,n,D,2023-05-18,2023,5,20,1,Alto
17.98322,-94.53445,306.09,7.13,n,N,2023-12-01,2023,12,7,0,Bajo
22.25552,-105.0857,308.24,1.2,n,N,2025-05-24,2025,5,8,0,Bajo
17.1844,-100.20467,299.29,0.76,n,N,2025-05-17,2025,5,7,0,Bajo
22.48689,-104.35544,300.16,1.18,n,N,2023-05-11,2023,5,7,0,Bajo
21.81771,-97.77589,343.96,3.4,n,D,2025-05-21,2025,5,19,1,Alto
22.11338,-104.35045,339.16,3.56,n,D,2023-02-06,2023,2,20,2,Medio
17.91291,-93.51952,338.68,5.0,n,N,2023-09-25,2023,9,8,0,Bajo
17.89021,-93.18659,307.96,2.46,n,N,2024-02-10,2024,2,8,0,Bajo
23.26732,-99.01391,338.73,17.65,l,D,2025-03-17,2025,3,19,2,Medio
19.42918,-104.85085,367.0,11.77,h,D,2024-05-23,2024,5,20,1,Alto
24.26381,-107.15314,338.2,4.31,n,D,2023-07-09,2023,7,20,2,Medio
19.70678,-102.75639,328.71,4.04,n,N,2024-05-26,2024,5,8,0,Bajo
18.68446,-99.04639,367.0,13.89,h,D,2025-03-18,2025,3,19,1,Alto
26.6456,-107.46734,295.33,0.66,n,N,2023-05-10,2023,5,8,0,Bajo
18.2056,-103.025,338.38,7.8,n,D,2023-03-06,2023,3,19,1,Alto
20.21524,-90.10135,350.66,17.02,n,D,2024-03-23,2024,3,19,1,Alto
19.98502,-89.07639,341.46,5.33,l,D,2024-05-02,2024,5,19,2,Medio
19.6513,-104.68694,333.97,8.17,n,D,2025-06-02,2025,6,20,1,Alto
17.94441,-90.79645,348.51,10.79,n,D,2024-05-13,2024,5,18,1,Alto
19.57403,-90.0135,303.09,0.58,n,N,2023-07-01,2023,7,8,0,Bajo
17.67575,-99.96992,342.61,4.55,n,D,2025-05-17,2025,5,20,1,Alto
16.14457,-97.87662,342.88,6.98,l,D,2024-04-14,2024,4,19,2,Medio
17.89241,-93.1965,327.24,6.03,n,N,2025-11-21,2025,11,8,0,Bajo
19.06176,-90.86184,334.33,5.84,n,D,2025-05-30,2025,5,19,1,Alto
25.44424,-108.31604,337.57,4.45,n,D,2025-10-22,2025,10,21,2,Medio
24.21419,-105.98979,324.93,4.51,n,N,2024-05-17,2024,5,8,0,Bajo
17.70806,-92.71744,298.29,1.45,n,N,2025-07-26,2025,7,7,0,Bajo
21.33533,-104.91203,337.63,5.03,n,D,2025-04-28,2025,4,19,2,Medio
20.60909,-89.97507,330.77,2.03,n,D,2023-03-26,2023,3,20,1,Alto
18.00966,-91.0408,355.42,41.13,n,N,2024-04-24,2024,4,7,1,Alto
16.37178,-93.57428,341.36,4.37,n,D,2025-04-01,2025,4,19,1,Alto
28.25774,-107.73211,349.06,13.83,n,D,2024-04-30,2024,4,19,2,Medio
29.80024,-109.65602,311.92,0.68,n,N,2025-10-06,2025,10,9,0,Bajo
18.13394,-100.95689,313.69,3.75,n,N,2025-05-22,2025,5,7,0,Bajo
19.23163,-89.65716,355.33,10.53,n,D,2024-04-02,2024,4,20,1,Alto
18.92619,-96.00367,345.68,5.41,n,D,2024-04-10,2024,4,19,1,Alto
19.01659,-100.41457,338.59,3.55,n,N,2024-05-12,2024,5,8,0,Bajo
20.91582,-89.74645,346.81,11.93,n,D,2025-03-27,2025,3,19,1,Alto
32.44893,-116.93315,346.37,6.96,n,D,2023-06-26,2023,6,21,2,Medio
17.92095,-90.47394,349.33,26.46,n,D,2025-05-16,2025,5,19,1,Alto
19.25227,-104.13888,337.97,6.67,n,D,2025-03-26,2025,3,19,1,Alto
19.08145,-98.33739,301.82,0.66,n,N,2023-03-08,2023,3,7,0,Bajo
26.61248,-106.64667,307.5,2.95,n,N,2024-06-04,2024,6,9,0,Bajo
18.40909,-92.35928,305.3,18.39,n,N,2024-04-20,2024,4,8,0,Bajo
19.55462,-89.52245,314.86,1.39,n,N,2023-04-04,2023,4,7,0,Bajo
29.72984,-108.45185,297.31,2.92,n,N,2025-05-26,2025,5,7,0,Bajo
22.82224,-105.32478,356.93,16.39,n,D,2025-03-15,2025,3,20,2,Medio
18.57289,-95.99977,344.1,11.7,n,D,2023-06-20,2023,6,19,1,Alto
18.51596,-89.34076,341.04,8.66,n,D,2025-05-03,2025,5,19,1,Alto
22.58739,-104.77631,334.49,1.65,l,D,2023-06-04,2023,6,19,2,Medio
18.50666,-96.14282,347.34,10.31,n,N,2025-10-30,2025,10,9,1,Alto
21.98586,-98.34927,330.4,2.38,l,D,2023-01-17,2023,1,19,2,Medio
17.84015,-93.11748,367.0,43.82,h,D,2023-05-12,2023,5,18,1,Alto
20.58101,-101.17067,331.06,2.84,l,D,2024-01-23,2024,1,20,2,Medio
19.11214,-90.10067,352.63,301.89,n,D,2024-03-28,2024,3,20,1,Alto
17.87007,-93.49987,330.14,5.36,n,D,2024-11-12,2024,11,20,1,Alto
18.40958,-96.21359,310.74,0.93,n,N,2023-05-13,2023,5,8,0,Bajo
17.96659,-93.65127,342.39,5.97,n,D,2025-05-13,2025,5,19,1,Alto
17.84523,-93.12519,320.39,5.31,n,N,2025-04-16,2025,4,7,0,Bajo
16.7031,-93.5385,303.86,0.66,n,N,2024-03-05,2024,3,7,0,Bajo
16.90388,-91.17189,356.64,5.83,n,D,2023-05-12,2023,5,18,1,Alto
16.85845,-96.98875,350.85,4.45,n,D,2024-03-27,2024,3,20,1,Alto
17.72661,-91.35233,367.0,7.94,h,D,2025-05-09,2025,5,19,1,Alto
15.9108,-92.50781,332.5,3.36,n,D,2024-05-25,2024,5,20,1,Alto
22.40229,-104.94562,344.96,59.54,n,D,2025-05-24,2025,5,19,2,Medio
17.86343,-93.83564,339.35,9.5,n,D,2023-04-06,2023,4,19,1,Alto
19.34896,-97.08662,332.37,2.46,n,D,2023-03-11,2023,3,19,1,Alto
16.29464,-98.16343,340.24,4.62,n,D,2023-05-19,2023,5,19,1,Alto
20.04666,-99.29153,328.16,5.25,n,N,2023-01-22,2023,1,8,0,Bajo
20.26858,-100.07264,303.82,1.26,n,N,2025-04-22,2025,4,8,0,Bajo
18.09871,-101.26936,367.0,17.28,h,D,2024-05-19,2024,5,20,1,Alto
18.1241,-92.0823,344.05,4.66,n,D,2025-05-24,2025,5,19,1,Alto
32.53682,-114.93564,306.12,0.96,n,N,2024-06-10,2024,6,9,0,Bajo
22.7483,-104.94067,319.64,2.39,n,N,2024-05-22,2024,5,8,0,Bajo
18.399,-91.0322,340.79,5.22,n,D,2025-04-18,2025,4,19,1,Alto
18.81033,-91.31519,334.96,5.96,n,N,2025-05-31,2025,5,8,0,Bajo
22.08492,-104.89127,338.59,7.5,l,D,2025-05-23,2025,5,20,2,Medio
17.75514,-92.91963,347.07,10.33,n,N,2025-09-07,2025,9,7,1,Alto
22.37143,-105.32071,299.41,0.88,n,N,2024-03-28,2024,3,8,0,Bajo
18.44389,-91.51514,326.73,7.03,n,N,2025-05-19,2025,5,6,0,Bajo
22.95609,-105.36117,321.81,3.03,n,N,2025-05-14,2025,5,8,0,Bajo
18.16836,-101.44552,342.68,3.7,n,D,2024-05-20,2024,5,20,1,Alto
18.97659,-96.11565,340.84,6.83,l,D,2024-05-17,2024,5,19,2,Medio
19.3855,-89.32681,299.31,0.81,n,N,2023-05-10,2023,5,8,0,Bajo
19.02177,-90.46059,302.02,0.83,n,N,2023-05-06,2023,5,7,0,Bajo
16.80204,-93.27782,309.61,0.57,n,N,2024-02-28,2024,2,7,0,Bajo
21.24873,-104.80325,355.33,7.58,n,D,2024-05-29,2024,5,20,2,Medio
17.42389,-94.20705,353.31,8.74,n,D,2025-12-07,2025,12,20,1,Alto
17.90039,-93.18893,302.92,17.02,n,N,2024-02-03,2024,2,7,0,Bajo
17.68391,-101.30006,333.63,3.35,n,D,2025-12-07,2025,12,20,1,Alto
20.20417,-102.65378,336.66,1.21,l,D,2025-05-20,2025,5,19,2,Medio
21.12839,-97.45232,330.02,1.7,n,D,2023-03-28,2023,3,19,1,Alto
18.03983,-93.06815,323.95,3.41,n,N,2025-08-11,2025,8,7,0,Bajo
18.81733,-102.59702,367.0,8.55,h,D,2025-04-19,2025,4,20,1,Alto
18.29064,-95.99702,335.3,5.81,n,D,2023-09-24,2023,9,19,1,Alto
21.23748,-103.84389,344.42,13.46,n,D,2023-05-06,2023,5,20,2,Medio
18.30663,-91.40718,345.65,10.08,n,D,2024-05-06,2024,5,19,1,Alto
20.46681,-103.32243,367.0,32.15,h,D,2023-05-09,2023,5,19,1,Alto
16.85156,-90.93633,333.54,4.45,n,D,2024-05-06,2024,5,19,1,Alto
19.14347,-90.92553,338.68,7.18,l,D,2024-05-13,2024,5,18,2,Medio
16.2056,-95.17165,337.1,2.7,n,N,2025-05-07,2025,5,7,0,Bajo
18.08919,-94.04895,367.0,5.46,h,N,2024-04-02,2024,4,7,1,Alto
18.64424,-88.78455,328.44,3.03,n,D,2023-10-30,2023,10,18,1,Alto
26.64545,-107.85178,341.36,6.73,l,D,2025-06-08,2025,6,20,2,Medio
20.0468,-99.2917,343.02,3.14,n,N,2025-01-20,2025,1,9,0,Bajo
17.02486,-95.35918,314.86,3.85,n,N,2024-05-28,2024,5,8,0,Bajo
15.98456,-93.59666,311.89,4.68,n,N,2024-04-14,2024,4,6,0,Bajo
19.92812,-90.35521,339.51,8.18,l,D,2024-05-29,2024,5,18,2,Medio
21.37074,-98.43159,333.34,5.67,n,D,2023-09-27,2023,9,18,1,Alto
20.17516,-102.71156,329.38,2.91,n,D,2023-12-20,2023,12,19,1,Alto
16.00082,-92.95373,327.38,1.64,n,N,2023-04-30,2023,4,7,0,Bajo
16.66919,-95.01765,335.94,2.39,n,D,2023-05-14,2023,5,19,1,Alto
25.81023,-103.59961,348.12,8.13,n,D,2023-02-21,2023,2,20,2,Medio
16.47548,-94.93054,337.6,3.24,n,D,2024-02-09,2024,2,20,1,Alto
17.84276,-95.19106,349.93,10.63,l,D,2024-05-17,2024,5,19,2,Medio
26.06596,-109.36449,300.72,0.99,n,N,2025-03-06,2025,3,8,0,Bajo
22.28166,-104.95885,345.76,9.67,n,D,2023-05-21,2023,5,20,2,Medio
18.36727,-100.82732,367.0,19.87,h,D,2023-04-20,2023,4,20,1,Alto
26.71964,-107.2962,306.82,1.73,n,N,2025-04-12,2025,4,8,0,Bajo
17.77458,-91.5321,335.78,6.12,n,D,2023-05-13,2023,5,20,1,Alto
25.58004,-107.62119,353.08,7.68,n,D,2024-04-23,2024,4,20,2,Medio
20.45047,-104.39262,349.39,16.76,l,D,2023-05-08,2023,5,19,2,Medio
21.32446,-100.57993,349.97,3.76,n,D,2024-07-18,2024,7,20,1,Alto
21.44447,-104.31421,304.55,0.73,n,N,2025-05-07,2025,5,8,0,Bajo
18.98769,-103.24986,304.92,0.62,n,N,2023-04-16,2023,4,9,0,Bajo
27.02658,-109.86874,339.81,9.37,n,D,2024-06-28,2024,6,19,2,Medio
18.10165,-98.85576,326.6,1.99,n,N,2024-03-13,2024,3,8,0,Bajo
28.99725,-110.22218,302.89,0.76,n,N,2023-04-11,2023,4,8,0,Bajo
25.70304,-100.21876,342.72,4.98,n,D,2023-07-18,2023,7,19,2,Medio
15.98586,-93.63708,313.12,2.03,n,N,2024-04-15,2024,4,8,0,Bajo
19.94329,-105.14859,311.89,1.28,n,N,2023-04-17,2023,4,8,0,Bajo
19.31988,-103.74794,336.92,4.07,n,D,2025-05-22,2025,5,20,1,Alto
18.38452,-92.87663,302.22,1.47,n,N,2025-04-22,2025,4,8,0,Bajo
16.6619,-94.56346,334.3,3.38,n,D,2023-05-05,2023,5,19,1,Alto
16.8535,-95.1227,334.45,5.83,n,D,2023-05-01,2023,5,18,1,Alto
19.01288,-90.64037,308.27,0.87,n,N,2023-04-15,2023,4,7,0,Bajo
18.86812,-90.85403,330.46,6.07,l,D,2024-05-05,2024,5,19,2,Medio
17.90267,-93.19388,322.07,78.51,n,N,2025-04-01,2025,4,6,1,Alto
24.60217,-99.44666,337.6,4.72,l,D,2023-02-28,2023,2,19,2,Medio
18.67926,-95.71183,310.91,1.37,n,N,2024-04-10,2024,4,8,0,Bajo
25.00816,-99.79617,331.69,4.25,l,D,2024-06-18,2024,6,19,2,Medio
17.23417,-99.64987,352.7,10.89,n,D,2024-04-12,2024,4,20,1,Alto
23.58664,-106.11783,330.51,3.79,n,D,2024-04-27,2024,4,20,2,Medio
21.19827,-100.85197,355.5,29.59,n,D,2023-03-03,2023,3,20,1,Alto
28.50267,-106.65506,303.24,1.71,n,N,2025-04-07,2025,4,8,0,Bajo
18.07467,-98.86308,342.33,9.77,l,D,2024-03-17,2024,3,20,2,Medio
18.03151,-93.92204,339.46,5.56,n,D,2025-02-25,2025,2,18,1,Alto
23.86414,-105.49545,327.2,1.46,n,N,2025-05-24,2025,5,8,0,Bajo
24.72813,-106.68909,331.09,5.64,n,D,2023-06-27,2023,6,19,2,Medio
18.50936,-96.14684,313.11,1.96,n,N,2023-03-03,2023,3,7,0,Bajo
21.33654,-103.49503,330.1,2.03,n,N,2024-05-13,2024,5,7,0,Bajo
19.0885,-103.99997,338.56,3.48,n,D,2024-05-19,2024,5,20,1,Alto
21.19859,-89.72941,333.85,7.4,n,D,2024-05-08,2024,5,18,1,Alto
21.33198,-87.05994,319.89,3.21,n,N,2024-05-25,2024,5,7,0,Bajo
16.75274,-99.01947,345.22,7.52,n,D,2023-04-26,2023,4,20,1,Alto
18.59425,-100.49561,353.44,20.46,l,D,2023-05-02,2023,5,20,2,Medio
20.51693,-97.47762,344.03,9.61,n,D,2025-12-04,2025,12,19,1,Alto
32.52272,-115.1249,296.33,0.91,n,N,2024-12-05,2024,12,10,0,Bajo
19.18987,-98.97846,347.59,5.3,n,D,2023-03-11,2023,3,19,1,Alto
25.44932,-97.83179,335.97,1.7,l,D,2025-11-06,2025,11,19,2,Medio
15.96584,-92.57575,338.9,3.15,n,D,2023-04-27,2023,4,20,1,Alto
20.60229,-102.76268,344.23,7.18,n,D,2023-05-09,2023,5,19,1,Alto
15.66764,-92.49664,331.21,7.13,n,D,2023-04-22,2023,4,19,1,Alto
16.50197,-98.15205,338.49,4.52,l,D,2024-06-05,2024,6,20,2,Medio
22.26514,-97.80777,316.1,4.02,n,N,2025-09-21,2025,9,7,0,Bajo
16.85116,-95.05099,336.23,5.46,n,D,2024-01-26,2024,1,19,1,Alto
18.23564,-102.82175,341.08,11.24,l,D,2023-05-02,2023,5,20,2,Medio
23.79232,-99.14816,337.1,4.1,n,D,2023-08-17,2023,8,20,2,Medio
25.59309,-100.15085,336.25,7.16,l,D,2025-03-11,2025,3,19,2,Medio
17.94737,-94.28574,305.08,0.33,n,N,2024-03-04,2024,3,8,0,Bajo
21.4277,-101.22533,345.28,12.78,n,D,2023-03-05,2023,3,19,1,Alto
24.60621,-105.86276,349.85,8.08,n,D,2023-05-08,2023,5,19,2,Medio
19.64096,-98.969,305.9,1.08,n,N,2023-03-18,2023,3,8,0,Bajo
24.01117,-105.97826,355.46,20.83,n,D,2024-04-19,2024,4,19,2,Medio
24.34544,-106.13672,336.39,7.2,n,D,2024-06-17,2024,6,19,2,Medio
30.77225,-111.13589,350.58,7.15,n,D,2023-02-05,2023,2,20,2,Medio
19.07413,-100.1461,306.21,2.06,n,N,2024-05-19,2024,5,7,0,Bajo
17.84843,-90.34238,367.0,13.09,h,D,2024-04-23,2024,4,18,1,Alto
18.64287,-92.17042,354.98,29.87,n,D,2025-02-19,2025,2,19,1,Alto
22.3173,-104.96301,347.43,11.87,l,D,2025-05-23,2025,5,20,2,Medio
25.59223,-99.9429,305.88,1.77,n,N,2025-06-02,2025,6,9,0,Bajo
27.03953,-109.88859,355.08,14.42,n,D,2025-08-06,2025,8,20,2,Medio
16.69441,-95.53287,346.55,24.18,n,D,2024-04-12,2024,4,18,1,Alto
18.15272,-98.9825,341.03,15.07,n,D,2025-04-14,2025,4,19,1,Alto
18.67552,-102.60406,321.46,2.49,n,N,2025-04-16,2025,4,8,0,Bajo
17.89017,-93.1832,329.71,2.9,n,D,2024-01-08,2024,1,20,1,Alto
18.53469,-95.48467,322.3,4.61,n,N,2024-05-27,2024,5,8,0,Bajo
19.17257,-98.32166,304.64,1.53,n,N,2023-04-19,2023,4,8,0,Bajo
20.17064,-89.97266,330.98,5.18,n,D,2024-04-28,2024,4,18,1,Alto
21.97664,-105.08991,347.38,5.06,n,D,2025-03-23,2025,3,20,2,Medio
28.92751,-110.82738,297.62,1.2,n,N,2024-12-15,2024,12,8,0,Bajo
18.69015,-98.81302,367.0,21.28,h,D,2025-04-14,2025,4,19,1,Alto
16.31704,-95.21756,307.54,2.14,n,N,2023-09-26,2023,9,8,0,Bajo
19.56276,-97.47998,336.89,5.23,n,D,2023-04-11,2023,4,20,1,Alto
16.03658,-93.50922,352.2,9.22,n,D,2024-05-27,2024,5,19,1,Alto
20.88376,-101.51325,334.47,2.4,n,D,2024-12-30,2024,12,20,1,Alto
22.43731,-104.63776,308.42,2.68,n,N,2023-06-20,2023,6,8,0,Bajo
17.41213,-100.00304,305.11,0.94,n,N,2023-05-02,2023,5,8,0,Bajo
18.75827,-98.94347,367.0,5.8,h,D,2025-03-23,2025,3,19,1,Alto
17.89001,-93.18968,306.35,0.86,n,N,2023-05-17,2023,5,7,0,Bajo
18.92348,-102.20464,335.79,2.44,l,D,2024-02-20,2024,2,19,2,Medio
20.84298,-103.86409,319.6,3.9,n,N,2025-04-25,2025,4,9,0,Bajo
19.77534,-88.71417,302.75,1.28,n,N,2024-04-17,2024,4,7,0,Bajo
29.78435,-108.50967,321.56,4.03,n,N,2025-05-22,2025,5,9,0,Bajo
21.93498,-104.18069,336.73,5.32,l,D,2024-04-30,2024,4,19,2,Medio
27.03138,-103.3727,297.09,0.99,n,N,2025-01-03,2025,1,9,0,Bajo
17.68999,-94.72767,342.64,11.18,n,D,2023-06-15,2023,6,19,1,Alto
18.3567,-92.13192,341.77,21.94,n,D,2023-06-15,2023,6,19,1,Alto
16.26403,-92.07782,345.68,28.23,l,D,2024-03-26,2024,3,18,2,Medio
19.69879,-104.43846,341.59,7.17,n,D,2023-05-12,2023,5,20,1,Alto
26.95739,-102.02971,334.52,2.91,l,D,2024-08-23,2024,8,20,2,Medio
16.13331,-92.92732,297.86,1.83,n,N,2023-05-03,2023,5,8,0,Bajo
21.66627,-104.98164,332.74,1.53,n,D,2024-05-04,2024,5,20,2,Medio
21.44904,-104.92223,343.58,6.11,n,D,2025-07-20,2025,7,20,2,Medio
19.02188,-98.6206,345.3,22.4,n,D,2024-10-19,2024,10,19,1,Alto
19.35217,-88.8789,336.27,3.74,n,D,2025-03-18,2025,3,19,1,Alto
18.70985,-101.30347,321.23,3.72,n,N,2024-05-15,2024,5,8,0,Bajo
17.85607,-99.53602,306.03,2.23,n,N,2024-05-02,2024,5,7,0,Bajo
19.77317,-88.71517,355.41,18.87,n,D,2024-04-16,2024,4,19,1,Alto
16.79518,-95.83086,333.6,2.74,n,N,2023-05-09,2023,5,8,0,Bajo
19.41887,-89.8941,337.78,3.09,n,D,2025-04-01,2025,4,19,1,Alto
23.01245,-105.50594,351.71,7.88,n,D,2024-05-15,2024,5,20,2,Medio
16.60929,-92.95068,354.76,23.42,n,D,2024-04-01,2024,4,18,1,Alto
22.10325,-104.94289,332.93,8.16,n,D,2023-05-31,2023,5,21,2,Medio
22.37173,-104.98627,367.0,90.37,l,D,2023-05-29,2023,5,20,2,Medio
19.98255,-101.7877,346.4,4.48,n,D,2025-03-17,2025,3,19,1,Alto
17.05567,-95.77447,311.95,2.62,n,N,2024-03-26,2024,3,7,0,Bajo
17.84639,-93.12012,305.58,1.03,n,N,2024-01-27,2024,1,7,0,Bajo
23.93699,-104.68764,339.19,3.66,n,D,2024-04-01,2024,4,20,2,Medio
16.79165,-98.43339,306.03,0.98,n,N,2024-05-06,2024,5,8,0,Bajo
19.44702,-104.8166,342.98,7.65,n,D,2023-06-20,2023,6,19,1,Alto
17.83786,-93.12,367.0,8.5,h,N,2023-05-19,2023,5,8,1,Alto
17.92979,-101.09933,344.44,10.33,n,N,2024-03-27,2024,3,7,0,Bajo
19.30101,-88.37399,311.64,2.39,n,N,2024-06-05,2024,6,7,0,Bajo
19.67595,-99.24532,332.6,4.47,l,D,2023-01-24,2023,1,19,2,Medio
17.00814,-98.54216,341.52,4.99,n,D,2024-04-09,2024,4,19,1,Alto
21.2263,-103.39487,310.08,0.86,n,N,2024-05-21,2024,5,8,0,Bajo
16.27218,-97.9072,342.64,3.77,n,D,2024-05-26,2024,5,19,1,Alto
17.81708,-90.49712,346.04,16.54,n,D,2024-04-16,2024,4,19,1,Alto
18.4278,-90.60921,331.35,2.75,l,D,2023-04-23,2023,4,19,2,Medio
19.67138,-103.37614,299.84,0.69,n,N,2024-10-30,2024,10,8,0,Bajo
19.53657,-103.05949,343.49,5.85,n,D,2023-05-31,2023,5,19,1,Alto
20.87278,-89.37527,343.2,8.57,n,D,2025-05-17,2025,5,18,1,Alto
17.97142,-94.52367,308.07,2.91,n,N,2025-12-07,2025,12,7,0,Bajo
21.73134,-104.71066,349.27,67.81,n,D,2023-06-18,2023,6,20,2,Medio
27.37313,-110.32919,336.63,4.4,n,D,2023-11-29,2023,11,20,2,Medio
18.88587,-88.4738,334.81,3.5,n,D,2024-03-21,2024,3,18,1,Alto
17.89235,-93.184,316.3,2.96,n,N,2023-06-27,2023,6,8,0,Bajo
