latitude,longitude,brightness,frp,confidence,daynight,acq_date,anio,mes,hora,cluster,riesgo
19.63798,-102.73883,355.1,12.96,n,D,2024-03-23,2024,3,19,1,Alto
20.58147,-101.16987,352.42,13.19,n,D,2025-05-17,2025,5,20,1,Alto
22.01717,-104.38238,317.96,1.97,n,N,2023-05-30,2023,5,8,0,Bajo
17.84514,-93.12468,306.04,2.36,n,N,2024-09-23,2024,9,7,0,Bajo
19.49711,-89.43259,304.99,0.45,n,N,2024-04-01,2024,4,7,0,Bajo
18.09867,-94.34898,315.88,3.27,n,N,2023-05-20,2023,5,8,0,Bajo
22.85916,-105.49355,355.04,7.31,n,D,2023-05-11,2023,5,20,2,Medio
19.39278,-89.44755,308.3,1.42,n,N,2023-04-02,2023,4,8,0,Bajo
25.48155,-107.1512,341.56,3.17,n,D,2024-05-25,2024,5,20,2,Medio
22.19294,-105.01466,337.51,2.52,n,D,2023-06-24,2023,6,20,2,Medio
22.5228,-103.79173,345.05,6.13,n,D,2024-04-22,2024,4,20,2,Medio
21.51364,-87.96622,331.86,4.76,n,D,2025-06-03,2025,6,18,1,Alto
21.86536,-102.10722,350.22,3.54,l,D,2023-06-03,2023,6,20,2,Medio
29.8549,-106.54288,351.17,41.06,l,D,2023-06-26,2023,6,19,2,Medio
19.86536,-105.04815,343.58,3.46,n,D,2023-06-22,2023,6,20,1,Alto
17.0908,-98.26334,349.94,7.41,n,D,2024-05-21,2024,5,19,1,Alto
17.69315,-92.76228,340.08,8.29,n,D,2025-07-26,2025,7,20,1,Alto
30.66014,-110.69289,305.91,1.01,n,N,2023-06-15,2023,6,8,0,Bajo
19.36257,-103.07163,335.22,16.74,n,D,2025-05-28,2025,5,20,1,Alto
23.39522,-102.36543,367.0,4.55,h,D,2025-04-09,2025,4,20,1,Alto
21.00961,-104.65259,307.1,1.06,n,N,2025-05-19,2025,5,8,0,Bajo
20.03035,-101.71622,343.44,14.67,l,D,2024-04-23,2024,4,20,2,Medio
19.17944,-96.23521,305.68,1.07,n,N,2025-12-10,2025,12,7,0,Bajo
19.968,-88.52492,345.07,23.93,l,D,2024-05-13,2024,5,18,2,Medio
18.13945,-88.78701,352.26,7.53,n,D,2025-05-08,2025,5,19,1,Alto
21.27735,-87.12658,304.88,1.35,n,N,2023-04-05,2023,4,7,0,Bajo
25.48739,-103.39724,302.44,0.76,n,N,2024-11-25,2024,11,8,0,Bajo
24.4203,-99.17386,305.1,0.55,n,N,2023-07-29,2023,7,8,0,Bajo
19.15079,-90.19134,338.36,5.87,l,D,2023-04-04,2023,4,18,2,Medio
16.41168,-92.46117,335.14,10.13,n,D,2024-05-14,2024,5,18,1,Alto
17.87089,-94.25766,343.66,8.04,n,D,2024-05-17,2024,5,19,1,Alto
22.88068,-105.4248,305.7,1.03,n,N,2025-03-31,2025,3,8,0,Bajo
21.11935,-99.55007,367.0,32.42,l,D,2024-03-08,2024,3,19,2,Medio
22.59143,-105.42593,344.3,19.11,l,D,2023-07-05,2023,7,20,2,Medio
19.24057,-90.08404,367.0,51.89,l,D,2023-04-03,2023,4,19,2,Medio
18.23807,-95.65476,339.59,2.56,n,D,2024-02-26,2024,2,19,1,Alto
